Episode 1, Reward:398.21, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.09
Episode 2, Reward:389.51, Noise:0.998, epsilon: 1.000, aloss:-0.645, closs: 2.925, time: 1.09
Episode 3, Reward:122.48, Noise:0.996, epsilon: 0.999, aloss:-3.163, closs: 4.521, time: 0.37
Episode 4, Reward:131.00, Noise:0.994, epsilon: 0.999, aloss:-5.205, closs: 4.935, time: 0.49
Episode 5, Reward:411.95, Noise:0.992, epsilon: 0.998, aloss:-10.962, closs: 5.447, time: 1.47
Episode 6, Reward:422.72, Noise:0.990, epsilon: 0.998, aloss:-24.314, closs: 6.066, time: 1.55
Episode 7, Reward:430.32, Noise:0.988, epsilon: 0.997, aloss:-43.529, closs: 8.783, time: 1.48
Episode 8, Reward:100.57, Noise:0.986, epsilon: 0.997, aloss:-56.527, closs: 13.405, time: 0.35
Episode 9, Reward:233.19, Noise:0.984, epsilon: 0.996, aloss:-64.146, closs: 18.997, time: 0.87
Episode 10, Reward:404.79, Noise:0.982, epsilon: 0.996, aloss:-78.679, closs: 30.894, time: 1.45
Episode 11, Reward:163.07, Noise:0.980, epsilon: 0.995, aloss:-90.239, closs: 32.039, time: 0.65
Episode 12, Reward:422.91, Noise:0.978, epsilon: 0.995, aloss:-101.498, closs: 49.680, time: 1.60
Episode 13, Reward:414.97, Noise:0.976, epsilon: 0.994, aloss:-113.109, closs: 58.252, time: 1.52
Episode 14, Reward:426.44, Noise:0.974, epsilon: 0.994, aloss:-121.432, closs: 63.240, time: 1.50
Episode 15, Reward:41.59, Noise:0.972, epsilon: 0.993, aloss:-124.637, closs: 70.728, time: 0.12
Episode 16, Reward:129.99, Noise:0.970, epsilon: 0.993, aloss:-125.779, closs: 61.070, time: 0.46
Episode 17, Reward:248.57, Noise:0.968, epsilon: 0.992, aloss:-128.569, closs: 81.446, time: 0.89
Episode 18, Reward:119.76, Noise:0.967, epsilon: 0.992, aloss:-130.912, closs: 95.502, time: 0.37
Episode 19, Reward:374.31, Noise:0.965, epsilon: 0.991, aloss:-132.945, closs: 102.330, time: 1.29
Episode 20, Reward:381.56, Noise:0.963, epsilon: 0.991, aloss:-135.601, closs: 101.347, time: 1.33
Episode 21, Reward:244.09, Noise:0.961, epsilon: 0.990, aloss:-139.224, closs: 96.260, time: 0.77
Episode 22, Reward:426.69, Noise:0.959, epsilon: 0.990, aloss:-141.601, closs: 114.510, time: 1.41
Episode 23, Reward:410.98, Noise:0.957, epsilon: 0.989, aloss:-143.645, closs: 103.200, time: 1.43
Episode 24, Reward:415.03, Noise:0.955, epsilon: 0.989, aloss:-146.166, closs: 116.500, time: 1.52
Episode 25, Reward:60.00, Noise:0.953, epsilon: 0.988, aloss:-147.797, closs: 120.962, time: 0.21
Episode 26, Reward:415.16, Noise:0.951, epsilon: 0.988, aloss:-147.984, closs: 128.088, time: 1.55
Episode 27, Reward:144.05, Noise:0.949, epsilon: 0.987, aloss:-147.219, closs: 135.359, time: 0.50
Episode 28, Reward:66.24, Noise:0.947, epsilon: 0.987, aloss:-147.021, closs: 168.352, time: 0.22
Episode 29, Reward:429.75, Noise:0.945, epsilon: 0.986, aloss:-147.233, closs: 127.565, time: 1.53
Episode 30, Reward:353.70, Noise:0.944, epsilon: 0.986, aloss:-148.966, closs: 127.695, time: 1.22
Episode 31, Reward:104.94, Noise:0.942, epsilon: 0.985, aloss:-148.976, closs: 140.901, time: 0.39
Episode 32, Reward:418.97, Noise:0.940, epsilon: 0.985, aloss:-149.071, closs: 128.874, time: 1.52
Episode 33, Reward:428.53, Noise:0.938, epsilon: 0.984, aloss:-148.729, closs: 131.101, time: 1.67
Episode 34, Reward:101.09, Noise:0.936, epsilon: 0.984, aloss:-148.963, closs: 83.221, time: 0.36
Episode 35, Reward:423.30, Noise:0.934, epsilon: 0.983, aloss:-149.647, closs: 134.528, time: 1.66
Episode 36, Reward:425.65, Noise:0.932, epsilon: 0.983, aloss:-149.694, closs: 120.603, time: 1.60
Episode 37, Reward:171.66, Noise:0.930, epsilon: 0.982, aloss:-150.810, closs: 111.705, time: 0.60
Episode 38, Reward:426.43, Noise:0.929, epsilon: 0.982, aloss:-151.281, closs: 120.030, time: 1.53
Episode 39, Reward:76.36, Noise:0.927, epsilon: 0.981, aloss:-151.241, closs: 94.009, time: 0.23
Episode 40, Reward:209.63, Noise:0.925, epsilon: 0.981, aloss:-151.572, closs: 120.716, time: 0.69
Episode 41, Reward:304.95, Noise:0.923, epsilon: 0.980, aloss:-152.432, closs: 106.656, time: 1.11
Episode 42, Reward:425.06, Noise:0.921, epsilon: 0.980, aloss:-154.664, closs: 109.954, time: 1.41
Episode 43, Reward:427.12, Noise:0.919, epsilon: 0.979, aloss:-154.963, closs: 118.456, time: 1.44
Episode 44, Reward:419.53, Noise:0.918, epsilon: 0.979, aloss:-154.815, closs: 126.773, time: 1.68
Episode 45, Reward:427.03, Noise:0.916, epsilon: 0.978, aloss:-154.330, closs: 112.618, time: 1.40
Episode 46, Reward:400.08, Noise:0.914, epsilon: 0.978, aloss:-155.199, closs: 109.249, time: 1.55
Episode 47, Reward:82.30, Noise:0.912, epsilon: 0.977, aloss:-156.682, closs: 96.838, time: 0.25
Episode 48, Reward:238.59, Noise:0.910, epsilon: 0.977, aloss:-157.314, closs: 114.400, time: 0.82
Episode 49, Reward:425.84, Noise:0.908, epsilon: 0.976, aloss:-154.285, closs: 128.757, time: 1.56
Episode 50, Reward:404.18, Noise:0.907, epsilon: 0.976, aloss:-151.697, closs: 118.909, time: 1.61
Episode 51, Reward:309.44, Noise:0.905, epsilon: 0.975, aloss:-154.350, closs: 109.584, time: 1.03
Episode 52, Reward:126.08, Noise:0.903, epsilon: 0.975, aloss:-155.905, closs: 120.118, time: 0.41
Episode 53, Reward:428.57, Noise:0.901, epsilon: 0.974, aloss:-154.263, closs: 127.129, time: 1.69
Episode 54, Reward:124.25, Noise:0.899, epsilon: 0.974, aloss:-151.022, closs: 106.784, time: 0.41
Episode 55, Reward:176.68, Noise:0.898, epsilon: 0.973, aloss:-152.545, closs: 111.834, time: 0.66
