Episode 1, Reward:376.31, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.09
Episode 2, Reward:262.04, Noise:0.998, epsilon: 1.000, aloss:-0.233, closs: 2.185, time: 0.58
Episode 3, Reward:260.42, Noise:0.996, epsilon: 0.999, aloss:-2.405, closs: 4.454, time: 0.94
Episode 4, Reward:143.39, Noise:0.994, epsilon: 0.999, aloss:-4.831, closs: 8.515, time: 0.47
Episode 5, Reward:347.00, Noise:0.992, epsilon: 0.998, aloss:-8.799, closs: 11.341, time: 1.22
Episode 6, Reward:365.12, Noise:0.990, epsilon: 0.998, aloss:-14.286, closs: 14.842, time: 1.21
Episode 7, Reward:355.62, Noise:0.988, epsilon: 0.997, aloss:-21.951, closs: 29.978, time: 1.33
Episode 8, Reward:362.34, Noise:0.986, epsilon: 0.997, aloss:-30.096, closs: 36.930, time: 1.30
Episode 9, Reward:365.89, Noise:0.984, epsilon: 0.996, aloss:-37.458, closs: 35.884, time: 1.25
Episode 10, Reward:92.06, Noise:0.982, epsilon: 0.996, aloss:-42.916, closs: 40.543, time: 0.27
Episode 11, Reward:36.60, Noise:0.980, epsilon: 0.995, aloss:-44.830, closs: 46.751, time: 0.09
Episode 12, Reward:199.36, Noise:0.978, epsilon: 0.995, aloss:-47.974, closs: 34.070, time: 0.71
Episode 13, Reward:333.94, Noise:0.976, epsilon: 0.994, aloss:-56.471, closs: 30.995, time: 1.15
Episode 14, Reward:332.51, Noise:0.974, epsilon: 0.994, aloss:-66.965, closs: 37.631, time: 1.07
Episode 15, Reward:367.69, Noise:0.972, epsilon: 0.993, aloss:-76.315, closs: 45.388, time: 1.40
Episode 16, Reward:369.69, Noise:0.970, epsilon: 0.993, aloss:-84.864, closs: 45.482, time: 1.26
Episode 17, Reward:358.59, Noise:0.968, epsilon: 0.992, aloss:-94.558, closs: 47.994, time: 1.33
Episode 18, Reward:353.05, Noise:0.967, epsilon: 0.992, aloss:-106.384, closs: 49.227, time: 1.31
Episode 19, Reward:127.82, Noise:0.965, epsilon: 0.991, aloss:-113.627, closs: 85.858, time: 0.39
Episode 20, Reward:74.68, Noise:0.963, epsilon: 0.991, aloss:-115.707, closs: 82.036, time: 0.25
Episode 21, Reward:349.36, Noise:0.961, epsilon: 0.990, aloss:-118.922, closs: 67.236, time: 1.22
Episode 22, Reward:368.34, Noise:0.959, epsilon: 0.990, aloss:-124.791, closs: 60.078, time: 1.19
Episode 23, Reward:373.54, Noise:0.957, epsilon: 0.989, aloss:-129.284, closs: 77.902, time: 1.29
Episode 24, Reward:358.88, Noise:0.955, epsilon: 0.989, aloss:-133.090, closs: 66.409, time: 1.28
Episode 25, Reward:114.81, Noise:0.953, epsilon: 0.988, aloss:-136.055, closs: 70.948, time: 0.36
Episode 26, Reward:145.71, Noise:0.951, epsilon: 0.988, aloss:-136.961, closs: 84.701, time: 0.43
Episode 27, Reward:369.49, Noise:0.949, epsilon: 0.987, aloss:-138.620, closs: 85.610, time: 1.38
Episode 28, Reward:361.33, Noise:0.947, epsilon: 0.987, aloss:-139.421, closs: 80.943, time: 1.19
Episode 29, Reward:365.17, Noise:0.945, epsilon: 0.986, aloss:-142.847, closs: 71.931, time: 1.19
Episode 30, Reward:369.53, Noise:0.944, epsilon: 0.986, aloss:-144.219, closs: 66.380, time: 1.22
Episode 31, Reward:347.51, Noise:0.942, epsilon: 0.985, aloss:-147.062, closs: 69.136, time: 1.26
Episode 32, Reward:364.89, Noise:0.940, epsilon: 0.985, aloss:-148.959, closs: 58.461, time: 1.28
Episode 33, Reward:353.63, Noise:0.938, epsilon: 0.984, aloss:-151.355, closs: 60.985, time: 1.22
Episode 34, Reward:362.80, Noise:0.936, epsilon: 0.984, aloss:-149.979, closs: 70.954, time: 1.36
Episode 35, Reward:363.34, Noise:0.934, epsilon: 0.983, aloss:-151.511, closs: 57.349, time: 1.25
Episode 36, Reward:361.20, Noise:0.932, epsilon: 0.983, aloss:-152.019, closs: 62.003, time: 1.28
Episode 37, Reward:265.39, Noise:0.930, epsilon: 0.982, aloss:-152.144, closs: 62.950, time: 0.97
Episode 38, Reward:16.81, Noise:0.929, epsilon: 0.982, aloss:-151.985, closs: 132.379, time: 0.02
Episode 39, Reward:202.19, Noise:0.927, epsilon: 0.981, aloss:-150.486, closs: 68.445, time: 0.75
Episode 40, Reward:368.65, Noise:0.925, epsilon: 0.981, aloss:-149.541, closs: 67.331, time: 1.23
Episode 41, Reward:364.50, Noise:0.923, epsilon: 0.980, aloss:-149.599, closs: 64.312, time: 1.30
Episode 42, Reward:373.23, Noise:0.921, epsilon: 0.980, aloss:-150.056, closs: 65.854, time: 1.36
Episode 43, Reward:206.52, Noise:0.919, epsilon: 0.979, aloss:-150.419, closs: 72.670, time: 0.68
Episode 44, Reward:374.80, Noise:0.918, epsilon: 0.979, aloss:-150.248, closs: 63.196, time: 1.35
Episode 45, Reward:362.62, Noise:0.916, epsilon: 0.978, aloss:-151.535, closs: 60.850, time: 1.39
Episode 46, Reward:162.25, Noise:0.914, epsilon: 0.978, aloss:-153.185, closs: 52.864, time: 0.58
Episode 47, Reward:356.56, Noise:0.912, epsilon: 0.977, aloss:-153.845, closs: 61.723, time: 1.36
Episode 48, Reward:133.40, Noise:0.910, epsilon: 0.977, aloss:-153.363, closs: 71.264, time: 0.47
Episode 49, Reward:369.94, Noise:0.908, epsilon: 0.976, aloss:-151.524, closs: 67.989, time: 1.30
Episode 50, Reward:366.97, Noise:0.907, epsilon: 0.976, aloss:-151.585, closs: 59.649, time: 1.30
Episode 51, Reward:122.68, Noise:0.905, epsilon: 0.975, aloss:-153.505, closs: 71.865, time: 0.36
Episode 52, Reward:362.84, Noise:0.903, epsilon: 0.975, aloss:-151.317, closs: 70.435, time: 1.37
Episode 53, Reward:359.31, Noise:0.901, epsilon: 0.974, aloss:-149.416, closs: 69.632, time: 1.27
Episode 54, Reward:371.74, Noise:0.899, epsilon: 0.974, aloss:-149.596, closs: 61.992, time: 1.24
Episode 55, Reward:281.74, Noise:0.898, epsilon: 0.973, aloss:-149.077, closs: 69.565, time: 1.02
Episode 56, Reward:339.51, Noise:0.896, epsilon: 0.973, aloss:-146.751, closs: 63.187, time: 1.19
Episode 57, Reward:98.49, Noise:0.894, epsilon: 0.972, aloss:-148.243, closs: 70.660, time: 0.30
Episode 58, Reward:351.25, Noise:0.892, epsilon: 0.972, aloss:-150.025, closs: 56.686, time: 1.24
Episode 59, Reward:125.11, Noise:0.890, epsilon: 0.971, aloss:-152.379, closs: 58.350, time: 0.39
Episode 60, Reward:360.42, Noise:0.889, epsilon: 0.971, aloss:-151.714, closs: 62.877, time: 1.28
Episode 61, Reward:339.19, Noise:0.887, epsilon: 0.970, aloss:-150.815, closs: 69.481, time: 1.19
Episode 62, Reward:360.37, Noise:0.885, epsilon: 0.970, aloss:-150.125, closs: 68.688, time: 1.32
Episode 63, Reward:364.10, Noise:0.883, epsilon: 0.969, aloss:-150.432, closs: 67.995, time: 1.27
Episode 64, Reward:367.14, Noise:0.882, epsilon: 0.969, aloss:-148.828, closs: 67.511, time: 1.35
Episode 65, Reward:350.50, Noise:0.880, epsilon: 0.968, aloss:-149.533, closs: 62.995, time: 1.30
