Episode 1, Reward:438.20, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.09
Episode 2, Reward:183.90, Noise:0.996, epsilon: 1.000, aloss:-0.046, closs: 1.658, time: 0.34
Episode 3, Reward:336.50, Noise:0.992, epsilon: 0.999, aloss:-1.652, closs: 4.959, time: 1.18
Episode 4, Reward:442.00, Noise:0.988, epsilon: 0.999, aloss:-8.776, closs: 4.870, time: 1.52
Episode 5, Reward:159.20, Noise:0.984, epsilon: 0.998, aloss:-17.264, closs: 4.990, time: 0.55
Episode 6, Reward:61.00, Noise:0.980, epsilon: 0.998, aloss:-21.061, closs: 8.374, time: 0.21
Episode 7, Reward:117.80, Noise:0.976, epsilon: 0.997, aloss:-23.593, closs: 10.222, time: 0.36
Episode 8, Reward:435.30, Noise:0.972, epsilon: 0.997, aloss:-27.458, closs: 16.484, time: 1.50
Episode 9, Reward:436.20, Noise:0.968, epsilon: 0.996, aloss:-34.511, closs: 15.700, time: 1.30
Episode 10, Reward:169.80, Noise:0.965, epsilon: 0.996, aloss:-40.942, closs: 20.633, time: 0.54
Episode 11, Reward:168.10, Noise:0.961, epsilon: 0.995, aloss:-45.470, closs: 19.715, time: 0.54
Episode 12, Reward:442.50, Noise:0.957, epsilon: 0.995, aloss:-54.029, closs: 24.945, time: 1.42
Episode 13, Reward:437.60, Noise:0.953, epsilon: 0.994, aloss:-66.386, closs: 35.583, time: 1.53
Episode 14, Reward:441.10, Noise:0.949, epsilon: 0.994, aloss:-81.690, closs: 37.570, time: 1.47
Episode 15, Reward:437.60, Noise:0.945, epsilon: 0.993, aloss:-96.945, closs: 43.433, time: 1.62
Episode 16, Reward:4.10, Noise:0.942, epsilon: 0.993, aloss:-103.166, closs: 31.872, time: 0.01
Episode 17, Reward:330.80, Noise:0.938, epsilon: 0.992, aloss:-108.187, closs: 56.854, time: 1.15
Episode 18, Reward:442.50, Noise:0.934, epsilon: 0.992, aloss:-121.762, closs: 59.013, time: 1.54
Episode 19, Reward:439.70, Noise:0.930, epsilon: 0.991, aloss:-137.745, closs: 71.500, time: 1.61
Episode 20, Reward:77.30, Noise:0.927, epsilon: 0.991, aloss:-145.905, closs: 111.753, time: 0.29
Episode 21, Reward:439.10, Noise:0.923, epsilon: 0.990, aloss:-148.386, closs: 96.813, time: 1.48
Episode 22, Reward:119.70, Noise:0.919, epsilon: 0.990, aloss:-150.641, closs: 100.777, time: 0.38
Episode 23, Reward:443.10, Noise:0.916, epsilon: 0.989, aloss:-153.527, closs: 106.380, time: 1.48
Episode 24, Reward:69.00, Noise:0.912, epsilon: 0.989, aloss:-154.250, closs: 85.002, time: 0.26
Episode 25, Reward:163.30, Noise:0.908, epsilon: 0.988, aloss:-154.131, closs: 112.435, time: 0.56
Episode 26, Reward:442.80, Noise:0.905, epsilon: 0.988, aloss:-155.254, closs: 96.334, time: 1.53
Episode 27, Reward:163.40, Noise:0.901, epsilon: 0.987, aloss:-158.866, closs: 105.365, time: 0.55
Episode 28, Reward:100.90, Noise:0.897, epsilon: 0.987, aloss:-158.272, closs: 104.456, time: 0.31
Episode 29, Reward:436.80, Noise:0.894, epsilon: 0.986, aloss:-159.481, closs: 106.978, time: 1.59
Episode 30, Reward:223.00, Noise:0.890, epsilon: 0.986, aloss:-159.586, closs: 112.497, time: 0.77
Episode 31, Reward:436.00, Noise:0.887, epsilon: 0.985, aloss:-159.628, closs: 110.942, time: 1.55
Episode 32, Reward:437.30, Noise:0.883, epsilon: 0.985, aloss:-159.560, closs: 115.633, time: 1.58
Episode 33, Reward:437.90, Noise:0.880, epsilon: 0.984, aloss:-156.746, closs: 96.348, time: 1.50
Episode 34, Reward:440.00, Noise:0.876, epsilon: 0.984, aloss:-161.290, closs: 95.695, time: 1.48
Episode 35, Reward:88.80, Noise:0.873, epsilon: 0.983, aloss:-164.394, closs: 111.413, time: 0.35
Episode 36, Reward:216.90, Noise:0.869, epsilon: 0.983, aloss:-164.294, closs: 108.134, time: 0.88
Episode 37, Reward:439.70, Noise:0.866, epsilon: 0.982, aloss:-163.464, closs: 110.519, time: 1.56
Episode 38, Reward:435.90, Noise:0.862, epsilon: 0.982, aloss:-161.948, closs: 114.698, time: 1.62
Episode 39, Reward:246.50, Noise:0.859, epsilon: 0.981, aloss:-159.498, closs: 98.353, time: 0.88
Episode 40, Reward:438.00, Noise:0.855, epsilon: 0.981, aloss:-160.966, closs: 95.732, time: 1.61
Episode 41, Reward:440.10, Noise:0.852, epsilon: 0.980, aloss:-165.150, closs: 98.586, time: 1.43
Episode 42, Reward:277.20, Noise:0.848, epsilon: 0.980, aloss:-166.639, closs: 113.549, time: 1.04
Episode 43, Reward:334.60, Noise:0.845, epsilon: 0.979, aloss:-163.818, closs: 98.643, time: 1.19
Episode 44, Reward:242.30, Noise:0.842, epsilon: 0.979, aloss:-164.167, closs: 113.392, time: 0.81
Episode 45, Reward:435.90, Noise:0.838, epsilon: 0.978, aloss:-161.257, closs: 105.648, time: 1.51
Episode 46, Reward:440.30, Noise:0.835, epsilon: 0.978, aloss:-162.975, closs: 91.408, time: 1.40
Episode 47, Reward:434.50, Noise:0.832, epsilon: 0.977, aloss:-167.880, closs: 87.985, time: 1.35
Episode 48, Reward:440.40, Noise:0.828, epsilon: 0.977, aloss:-169.832, closs: 99.008, time: 1.24
Episode 49, Reward:288.40, Noise:0.825, epsilon: 0.976, aloss:-170.418, closs: 84.962, time: 0.74
Episode 50, Reward:430.80, Noise:0.822, epsilon: 0.976, aloss:-170.661, closs: 90.680, time: 1.27
Episode 51, Reward:436.20, Noise:0.818, epsilon: 0.975, aloss:-171.359, closs: 99.349, time: 1.31
Episode 52, Reward:435.00, Noise:0.815, epsilon: 0.975, aloss:-171.994, closs: 96.910, time: 1.33
Episode 53, Reward:437.80, Noise:0.812, epsilon: 0.974, aloss:-170.688, closs: 95.367, time: 1.31
Episode 54, Reward:439.80, Noise:0.809, epsilon: 0.974, aloss:-170.009, closs: 88.826, time: 1.30
Episode 55, Reward:410.10, Noise:0.805, epsilon: 0.973, aloss:-172.594, closs: 98.499, time: 1.15
Episode 56, Reward:435.30, Noise:0.802, epsilon: 0.973, aloss:-173.220, closs: 87.957, time: 1.23
Episode 57, Reward:433.90, Noise:0.799, epsilon: 0.972, aloss:-173.614, closs: 86.211, time: 1.33
Episode 58, Reward:436.20, Noise:0.796, epsilon: 0.972, aloss:-177.517, closs: 80.927, time: 1.31
Episode 59, Reward:437.80, Noise:0.793, epsilon: 0.971, aloss:-176.491, closs: 95.062, time: 1.30
Episode 60, Reward:413.40, Noise:0.789, epsilon: 0.971, aloss:-174.618, closs: 84.730, time: 1.25
Episode 61, Reward:434.10, Noise:0.786, epsilon: 0.970, aloss:-177.058, closs: 85.735, time: 1.35
Episode 62, Reward:436.50, Noise:0.783, epsilon: 0.970, aloss:-177.903, closs: 90.938, time: 1.31
Episode 63, Reward:244.60, Noise:0.780, epsilon: 0.969, aloss:-177.552, closs: 92.476, time: 0.75
Episode 64, Reward:439.20, Noise:0.777, epsilon: 0.969, aloss:-175.513, closs: 89.247, time: 1.37
Episode 65, Reward:436.20, Noise:0.774, epsilon: 0.968, aloss:-177.652, closs: 85.848, time: 1.27
Episode 66, Reward:438.80, Noise:0.771, epsilon: 0.968, aloss:-178.966, closs: 74.979, time: 1.27
Episode 67, Reward:435.70, Noise:0.768, epsilon: 0.968, aloss:-181.709, closs: 83.574, time: 1.38
Episode 68, Reward:434.60, Noise:0.764, epsilon: 0.967, aloss:-181.665, closs: 82.015, time: 1.34
Episode 69, Reward:435.20, Noise:0.761, epsilon: 0.967, aloss:-183.324, closs: 71.309, time: 1.30
Episode 70, Reward:435.60, Noise:0.758, epsilon: 0.966, aloss:-184.266, closs: 85.229, time: 1.31
Episode 71, Reward:437.00, Noise:0.755, epsilon: 0.966, aloss:-182.562, closs: 87.709, time: 1.27
Episode 72, Reward:435.60, Noise:0.752, epsilon: 0.965, aloss:-184.510, closs: 78.606, time: 1.29
Episode 73, Reward:432.90, Noise:0.749, epsilon: 0.965, aloss:-184.334, closs: 84.042, time: 1.36
Episode 74, Reward:435.70, Noise:0.746, epsilon: 0.964, aloss:-186.494, closs: 70.167, time: 1.26
Episode 75, Reward:437.00, Noise:0.743, epsilon: 0.964, aloss:-189.748, closs: 79.957, time: 1.31
Episode 76, Reward:435.70, Noise:0.740, epsilon: 0.963, aloss:-190.449, closs: 79.033, time: 1.39
Episode 77, Reward:436.00, Noise:0.737, epsilon: 0.963, aloss:-185.567, closs: 84.172, time: 1.34
Episode 78, Reward:435.80, Noise:0.734, epsilon: 0.962, aloss:-188.082, closs: 61.606, time: 1.20
Episode 79, Reward:434.70, Noise:0.732, epsilon: 0.962, aloss:-192.111, closs: 72.127, time: 1.22
Episode 80, Reward:179.90, Noise:0.729, epsilon: 0.961, aloss:-191.515, closs: 78.551, time: 0.50
Episode 81, Reward:434.50, Noise:0.726, epsilon: 0.961, aloss:-192.371, closs: 76.262, time: 1.27
Episode 82, Reward:436.90, Noise:0.723, epsilon: 0.960, aloss:-188.483, closs: 82.768, time: 1.33
Episode 83, Reward:433.40, Noise:0.720, epsilon: 0.960, aloss:-187.412, closs: 82.299, time: 1.19
Episode 84, Reward:433.90, Noise:0.717, epsilon: 0.959, aloss:-187.087, closs: 70.750, time: 1.23
Episode 85, Reward:436.60, Noise:0.714, epsilon: 0.959, aloss:-189.102, closs: 82.102, time: 1.26
Episode 86, Reward:433.40, Noise:0.711, epsilon: 0.958, aloss:-189.495, closs: 72.240, time: 1.30
