Episode 1, Reward:34.50, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.09
Episode 2, Reward:13.40, Noise:0.997, epsilon: 1.000, aloss: 0.009, closs: 0.035, time: 0.23
Episode 3, Reward:9.30, Noise:0.994, epsilon: 0.999, aloss:-0.152, closs: 0.146, time: 0.29
Episode 4, Reward:26.70, Noise:0.991, epsilon: 0.999, aloss:-1.287, closs: 0.162, time: 0.97
Episode 5, Reward:35.80, Noise:0.988, epsilon: 0.998, aloss:-5.155, closs: 0.309, time: 1.22
Episode 6, Reward:9.50, Noise:0.985, epsilon: 0.998, aloss:-8.101, closs: 0.633, time: 0.29
Episode 7, Reward:1.70, Noise:0.982, epsilon: 0.997, aloss:-8.469, closs: 0.772, time: 0.08
Episode 8, Reward:15.50, Noise:0.979, epsilon: 0.997, aloss:-8.869, closs: 0.840, time: 0.54
Episode 9, Reward:16.30, Noise:0.976, epsilon: 0.996, aloss:-9.421, closs: 0.862, time: 0.55
Episode 10, Reward:20.30, Noise:0.973, epsilon: 0.996, aloss:-9.767, closs: 0.950, time: 0.46
Episode 11, Reward:36.50, Noise:0.970, epsilon: 0.995, aloss:-10.052, closs: 1.044, time: 1.21
Episode 12, Reward:39.20, Noise:0.967, epsilon: 0.995, aloss:-10.451, closs: 0.930, time: 1.13
Episode 13, Reward:41.40, Noise:0.965, epsilon: 0.994, aloss:-11.587, closs: 0.922, time: 1.19
Episode 14, Reward:7.40, Noise:0.962, epsilon: 0.994, aloss:-12.311, closs: 0.905, time: 0.18
Episode 15, Reward:36.10, Noise:0.959, epsilon: 0.993, aloss:-12.243, closs: 1.013, time: 1.05
Episode 16, Reward:4.50, Noise:0.956, epsilon: 0.993, aloss:-12.068, closs: 1.240, time: 0.16
Episode 17, Reward:42.10, Noise:0.953, epsilon: 0.992, aloss:-12.034, closs: 1.067, time: 1.35
Episode 18, Reward:5.80, Noise:0.950, epsilon: 0.992, aloss:-12.155, closs: 1.090, time: 0.18
Episode 19, Reward:40.10, Noise:0.947, epsilon: 0.991, aloss:-12.105, closs: 1.024, time: 1.25
Episode 20, Reward:37.20, Noise:0.945, epsilon: 0.991, aloss:-12.289, closs: 1.046, time: 1.29
Episode 21, Reward:15.40, Noise:0.942, epsilon: 0.990, aloss:-12.492, closs: 1.000, time: 0.57
Episode 22, Reward:35.20, Noise:0.939, epsilon: 0.990, aloss:-12.829, closs: 0.952, time: 1.31
Episode 23, Reward:24.60, Noise:0.936, epsilon: 0.989, aloss:-12.703, closs: 0.979, time: 0.86
Episode 24, Reward:33.80, Noise:0.933, epsilon: 0.989, aloss:-12.720, closs: 0.913, time: 1.19
Episode 25, Reward:6.80, Noise:0.930, epsilon: 0.988, aloss:-12.562, closs: 0.946, time: 0.19
Episode 26, Reward:4.10, Noise:0.928, epsilon: 0.988, aloss:-12.550, closs: 0.854, time: 0.10
Episode 27, Reward:11.90, Noise:0.925, epsilon: 0.987, aloss:-12.718, closs: 0.928, time: 0.40
Episode 28, Reward:11.20, Noise:0.922, epsilon: 0.987, aloss:-12.593, closs: 0.913, time: 0.36
Episode 29, Reward:36.30, Noise:0.919, epsilon: 0.986, aloss:-12.519, closs: 0.990, time: 1.29
Episode 30, Reward:12.50, Noise:0.917, epsilon: 0.986, aloss:-11.924, closs: 0.873, time: 0.42
Episode 31, Reward:16.50, Noise:0.914, epsilon: 0.985, aloss:-12.072, closs: 0.921, time: 0.64
Episode 32, Reward:31.30, Noise:0.911, epsilon: 0.985, aloss:-12.061, closs: 0.954, time: 1.32
Episode 33, Reward:14.30, Noise:0.908, epsilon: 0.984, aloss:-11.834, closs: 0.947, time: 0.40
Episode 34, Reward:19.20, Noise:0.906, epsilon: 0.984, aloss:-11.745, closs: 0.952, time: 0.66
Episode 35, Reward:35.20, Noise:0.903, epsilon: 0.983, aloss:-11.964, closs: 0.895, time: 1.35
Episode 36, Reward:40.90, Noise:0.900, epsilon: 0.983, aloss:-12.295, closs: 0.880, time: 1.28
Episode 37, Reward:32.40, Noise:0.897, epsilon: 0.982, aloss:-12.592, closs: 0.902, time: 1.17
Episode 38, Reward:20.90, Noise:0.895, epsilon: 0.982, aloss:-12.480, closs: 0.810, time: 0.71
Episode 39, Reward:13.80, Noise:0.892, epsilon: 0.981, aloss:-12.793, closs: 1.004, time: 0.40
Episode 40, Reward:16.60, Noise:0.889, epsilon: 0.981, aloss:-12.560, closs: 0.917, time: 0.56
Episode 41, Reward:18.70, Noise:0.887, epsilon: 0.980, aloss:-12.329, closs: 0.969, time: 0.66
Episode 42, Reward:12.70, Noise:0.884, epsilon: 0.980, aloss:-12.208, closs: 0.938, time: 0.38
Episode 43, Reward:23.40, Noise:0.881, epsilon: 0.979, aloss:-12.072, closs: 0.959, time: 0.79
Episode 44, Reward:25.80, Noise:0.879, epsilon: 0.979, aloss:-11.852, closs: 0.886, time: 0.77
Episode 45, Reward:39.60, Noise:0.876, epsilon: 0.978, aloss:-11.873, closs: 0.938, time: 1.31
Episode 46, Reward:41.10, Noise:0.874, epsilon: 0.978, aloss:-12.036, closs: 0.945, time: 1.35
Episode 47, Reward:32.50, Noise:0.871, epsilon: 0.977, aloss:-12.086, closs: 0.938, time: 1.10
Episode 48, Reward:27.70, Noise:0.868, epsilon: 0.977, aloss:-12.125, closs: 0.915, time: 0.89
Episode 49, Reward:10.20, Noise:0.866, epsilon: 0.976, aloss:-12.261, closs: 0.879, time: 0.28
Episode 50, Reward:6.70, Noise:0.863, epsilon: 0.976, aloss:-12.375, closs: 0.955, time: 0.29
Episode 51, Reward:21.40, Noise:0.861, epsilon: 0.975, aloss:-12.437, closs: 0.896, time: 0.67
Episode 52, Reward:28.70, Noise:0.858, epsilon: 0.975, aloss:-12.198, closs: 0.996, time: 1.08
Episode 53, Reward:40.40, Noise:0.855, epsilon: 0.974, aloss:-12.156, closs: 0.922, time: 1.18
Episode 54, Reward:38.70, Noise:0.853, epsilon: 0.974, aloss:-12.233, closs: 0.965, time: 1.21
Episode 55, Reward:6.90, Noise:0.850, epsilon: 0.973, aloss:-12.110, closs: 0.851, time: 0.23
Episode 56, Reward:12.50, Noise:0.848, epsilon: 0.973, aloss:-12.405, closs: 0.898, time: 0.33
Episode 57, Reward:34.80, Noise:0.845, epsilon: 0.972, aloss:-12.521, closs: 0.924, time: 1.12
Episode 58, Reward:37.60, Noise:0.843, epsilon: 0.972, aloss:-12.540, closs: 0.958, time: 1.25
Episode 59, Reward:5.10, Noise:0.840, epsilon: 0.971, aloss:-12.170, closs: 1.006, time: 0.17
Episode 60, Reward:43.20, Noise:0.838, epsilon: 0.971, aloss:-12.281, closs: 0.914, time: 1.29
Episode 61, Reward:24.20, Noise:0.835, epsilon: 0.970, aloss:-12.759, closs: 0.929, time: 0.90
Episode 62, Reward:21.80, Noise:0.833, epsilon: 0.970, aloss:-12.529, closs: 0.956, time: 0.72
Episode 63, Reward:4.50, Noise:0.830, epsilon: 0.969, aloss:-12.212, closs: 1.237, time: 0.13
Episode 64, Reward:35.60, Noise:0.828, epsilon: 0.969, aloss:-12.059, closs: 0.886, time: 1.17
Episode 65, Reward:38.50, Noise:0.825, epsilon: 0.968, aloss:-12.482, closs: 0.925, time: 1.24
Episode 66, Reward:8.40, Noise:0.823, epsilon: 0.968, aloss:-12.625, closs: 0.913, time: 0.22
Episode 67, Reward:22.70, Noise:0.820, epsilon: 0.968, aloss:-12.373, closs: 0.943, time: 0.66
Episode 68, Reward:44.70, Noise:0.818, epsilon: 0.967, aloss:-12.361, closs: 0.940, time: 1.21
Episode 69, Reward:23.60, Noise:0.815, epsilon: 0.967, aloss:-12.386, closs: 0.928, time: 0.72
Episode 70, Reward:2.30, Noise:0.813, epsilon: 0.966, aloss:-12.570, closs: 1.172, time: 0.06
Episode 71, Reward:42.80, Noise:0.810, epsilon: 0.966, aloss:-12.353, closs: 0.974, time: 1.25
Episode 72, Reward:46.00, Noise:0.808, epsilon: 0.965, aloss:-12.099, closs: 0.910, time: 1.28
Episode 73, Reward:29.30, Noise:0.805, epsilon: 0.965, aloss:-12.704, closs: 0.933, time: 1.02
Episode 74, Reward:41.60, Noise:0.803, epsilon: 0.964, aloss:-12.593, closs: 0.983, time: 1.24
Episode 75, Reward:47.40, Noise:0.801, epsilon: 0.964, aloss:-12.677, closs: 0.971, time: 1.30
Episode 76, Reward:35.60, Noise:0.798, epsilon: 0.963, aloss:-12.663, closs: 0.953, time: 1.28
Episode 77, Reward:41.20, Noise:0.796, epsilon: 0.963, aloss:-12.861, closs: 0.943, time: 1.26
Episode 78, Reward:20.70, Noise:0.793, epsilon: 0.962, aloss:-12.604, closs: 1.079, time: 0.60
Episode 79, Reward:40.60, Noise:0.791, epsilon: 0.962, aloss:-12.672, closs: 0.947, time: 1.35
Episode 80, Reward:35.90, Noise:0.789, epsilon: 0.961, aloss:-12.922, closs: 0.952, time: 1.01
Episode 81, Reward:44.20, Noise:0.786, epsilon: 0.961, aloss:-13.097, closs: 1.003, time: 1.25
Episode 82, Reward:15.20, Noise:0.784, epsilon: 0.960, aloss:-12.983, closs: 0.919, time: 0.46
Episode 83, Reward:42.90, Noise:0.782, epsilon: 0.960, aloss:-13.062, closs: 1.028, time: 1.29
Episode 84, Reward:44.60, Noise:0.779, epsilon: 0.959, aloss:-12.984, closs: 0.923, time: 1.35
Episode 85, Reward:4.90, Noise:0.777, epsilon: 0.959, aloss:-13.211, closs: 1.162, time: 0.14
Episode 86, Reward:41.90, Noise:0.775, epsilon: 0.958, aloss:-12.936, closs: 1.036, time: 1.31
Episode 87, Reward:37.80, Noise:0.772, epsilon: 0.958, aloss:-12.814, closs: 0.958, time: 1.19
Episode 88, Reward:3.40, Noise:0.770, epsilon: 0.957, aloss:-13.083, closs: 0.892, time: 0.10
Episode 89, Reward:33.20, Noise:0.768, epsilon: 0.957, aloss:-13.397, closs: 0.937, time: 1.04
Episode 90, Reward:2.70, Noise:0.765, epsilon: 0.956, aloss:-13.311, closs: 1.022, time: 0.07
Episode 91, Reward:26.40, Noise:0.763, epsilon: 0.956, aloss:-13.295, closs: 0.929, time: 0.80
Episode 92, Reward:9.90, Noise:0.761, epsilon: 0.956, aloss:-13.536, closs: 0.902, time: 0.24
Episode 93, Reward:34.50, Noise:0.758, epsilon: 0.955, aloss:-13.518, closs: 1.057, time: 0.96
Episode 94, Reward:46.30, Noise:0.756, epsilon: 0.955, aloss:-13.330, closs: 0.991, time: 1.30
Episode 95, Reward:3.10, Noise:0.754, epsilon: 0.954, aloss:-13.289, closs: 0.880, time: 0.08
Episode 96, Reward:41.50, Noise:0.752, epsilon: 0.954, aloss:-13.207, closs: 0.994, time: 1.25
Episode 97, Reward:23.90, Noise:0.749, epsilon: 0.953, aloss:-13.284, closs: 0.935, time: 0.66
Episode 98, Reward:11.40, Noise:0.747, epsilon: 0.953, aloss:-13.769, closs: 0.953, time: 0.34
Episode 99, Reward:45.20, Noise:0.745, epsilon: 0.952, aloss:-13.417, closs: 1.037, time: 1.31
Episode 100, Reward:6.70, Noise:0.743, epsilon: 0.952, aloss:-13.484, closs: 1.016, time: 0.22
Episode 101, Reward:39.70, Noise:0.740, epsilon: 0.951, aloss:-13.122, closs: 1.032, time: 1.29
Episode 102, Reward:21.00, Noise:0.738, epsilon: 0.951, aloss:-13.535, closs: 0.937, time: 0.69
Episode 103, Reward:30.00, Noise:0.736, epsilon: 0.950, aloss:-13.801, closs: 0.982, time: 0.85
Episode 104, Reward:46.40, Noise:0.734, epsilon: 0.950, aloss:-13.597, closs: 1.010, time: 1.16
Episode 105, Reward:5.40, Noise:0.732, epsilon: 0.949, aloss:-13.900, closs: 0.775, time: 0.16
Episode 106, Reward:42.50, Noise:0.729, epsilon: 0.949, aloss:-13.654, closs: 1.006, time: 1.20
