Episode 1, Reward:4.35, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.06
Episode 2, Reward:4.10, Noise:0.990, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.02
Episode 3, Reward:13.60, Noise:0.980, epsilon: 0.999, aloss:-0.080, closs: 0.033, time: 0.54
Episode 4, Reward:13.40, Noise:0.970, epsilon: 0.999, aloss:-1.619, closs: 0.039, time: 1.11
Episode 5, Reward:13.40, Noise:0.961, epsilon: 0.998, aloss:-4.343, closs: 0.097, time: 1.08
Episode 6, Reward:5.30, Noise:0.951, epsilon: 0.998, aloss:-5.207, closs: 0.100, time: 0.40
Episode 7, Reward:9.65, Noise:0.941, epsilon: 0.997, aloss:-5.107, closs: 0.122, time: 0.79
Episode 8, Reward:4.70, Noise:0.932, epsilon: 0.997, aloss:-4.854, closs: 0.136, time: 0.38
Episode 9, Reward:3.20, Noise:0.923, epsilon: 0.996, aloss:-4.799, closs: 0.123, time: 0.26
Episode 10, Reward:7.05, Noise:0.914, epsilon: 0.996, aloss:-4.536, closs: 0.163, time: 0.54
Episode 11, Reward:12.90, Noise:0.904, epsilon: 0.995, aloss:-4.374, closs: 0.130, time: 1.08
Episode 12, Reward:6.95, Noise:0.895, epsilon: 0.995, aloss:-4.501, closs: 0.123, time: 0.55
Episode 13, Reward:1.25, Noise:0.886, epsilon: 0.994, aloss:-4.611, closs: 0.161, time: 0.12
Episode 14, Reward:2.75, Noise:0.878, epsilon: 0.994, aloss:-4.382, closs: 0.174, time: 0.25
Episode 15, Reward:13.25, Noise:0.869, epsilon: 0.993, aloss:-4.208, closs: 0.135, time: 1.13
Episode 16, Reward:1.25, Noise:0.860, epsilon: 0.993, aloss:-4.051, closs: 0.124, time: 0.11
Episode 17, Reward:10.80, Noise:0.851, epsilon: 0.992, aloss:-4.067, closs: 0.116, time: 0.96
Episode 18, Reward:5.30, Noise:0.843, epsilon: 0.992, aloss:-4.275, closs: 0.124, time: 0.38
Episode 19, Reward:12.00, Noise:0.835, epsilon: 0.991, aloss:-4.150, closs: 0.130, time: 1.09
Episode 20, Reward:5.30, Noise:0.826, epsilon: 0.991, aloss:-4.243, closs: 0.115, time: 0.41
Episode 21, Reward:11.70, Noise:0.818, epsilon: 0.990, aloss:-4.115, closs: 0.130, time: 1.09
Episode 22, Reward:3.45, Noise:0.810, epsilon: 0.990, aloss:-4.115, closs: 0.128, time: 0.28
Episode 23, Reward:12.35, Noise:0.802, epsilon: 0.989, aloss:-4.179, closs: 0.117, time: 1.10
Episode 24, Reward:12.35, Noise:0.794, epsilon: 0.989, aloss:-4.333, closs: 0.108, time: 1.05
Episode 25, Reward:7.30, Noise:0.786, epsilon: 0.988, aloss:-4.415, closs: 0.123, time: 0.69
Episode 26, Reward:1.50, Noise:0.778, epsilon: 0.988, aloss:-4.225, closs: 0.138, time: 0.16
Episode 27, Reward:13.35, Noise:0.770, epsilon: 0.987, aloss:-4.141, closs: 0.114, time: 1.12
Episode 28, Reward:13.90, Noise:0.762, epsilon: 0.987, aloss:-4.179, closs: 0.115, time: 1.09
Episode 29, Reward:3.95, Noise:0.755, epsilon: 0.986, aloss:-4.191, closs: 0.106, time: 0.33
Episode 30, Reward:13.80, Noise:0.747, epsilon: 0.986, aloss:-4.340, closs: 0.102, time: 1.10
Episode 31, Reward:5.85, Noise:0.740, epsilon: 0.985, aloss:-4.396, closs: 0.133, time: 0.41
Episode 32, Reward:10.45, Noise:0.732, epsilon: 0.985, aloss:-4.261, closs: 0.115, time: 1.10
Episode 33, Reward:12.15, Noise:0.725, epsilon: 0.984, aloss:-4.366, closs: 0.111, time: 1.10
Episode 34, Reward:11.10, Noise:0.718, epsilon: 0.984, aloss:-4.278, closs: 0.118, time: 1.10
Episode 35, Reward:13.45, Noise:0.711, epsilon: 0.983, aloss:-4.322, closs: 0.099, time: 1.10
Episode 36, Reward:12.65, Noise:0.703, epsilon: 0.983, aloss:-4.479, closs: 0.104, time: 1.10
Episode 37, Reward:5.60, Noise:0.696, epsilon: 0.982, aloss:-4.428, closs: 0.111, time: 0.45
Episode 38, Reward:13.15, Noise:0.689, epsilon: 0.982, aloss:-4.580, closs: 0.106, time: 1.10
Episode 39, Reward:6.80, Noise:0.683, epsilon: 0.981, aloss:-4.624, closs: 0.098, time: 0.74
Episode 40, Reward:15.05, Noise:0.676, epsilon: 0.981, aloss:-4.473, closs: 0.113, time: 1.13
Episode 41, Reward:3.05, Noise:0.669, epsilon: 0.980, aloss:-4.406, closs: 0.090, time: 0.38
Episode 42, Reward:11.65, Noise:0.662, epsilon: 0.980, aloss:-4.513, closs: 0.101, time: 1.13
Episode 43, Reward:2.15, Noise:0.656, epsilon: 0.979, aloss:-4.606, closs: 0.081, time: 0.20
Episode 44, Reward:11.20, Noise:0.649, epsilon: 0.979, aloss:-4.754, closs: 0.090, time: 1.13
Episode 45, Reward:10.50, Noise:0.643, epsilon: 0.978, aloss:-4.509, closs: 0.106, time: 1.15
Episode 46, Reward:14.65, Noise:0.636, epsilon: 0.978, aloss:-4.602, closs: 0.090, time: 1.16
Episode 47, Reward:13.30, Noise:0.630, epsilon: 0.977, aloss:-4.586, closs: 0.104, time: 1.13
