Episode 1, Reward:6.00, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.06
Episode 2, Reward:11.55, Noise:0.995, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.04
Episode 3, Reward:13.60, Noise:0.990, epsilon: 0.999, aloss:-0.400, closs: 0.041, time: 1.02
Episode 4, Reward:14.65, Noise:0.985, epsilon: 0.999, aloss:-2.949, closs: 0.078, time: 1.11
Episode 5, Reward:13.25, Noise:0.980, epsilon: 0.998, aloss:-5.198, closs: 0.106, time: 1.10
Episode 6, Reward:11.65, Noise:0.975, epsilon: 0.998, aloss:-5.765, closs: 0.092, time: 0.91
Episode 7, Reward:0.65, Noise:0.970, epsilon: 0.997, aloss:-5.725, closs: 0.131, time: 0.06
Episode 8, Reward:3.40, Noise:0.966, epsilon: 0.997, aloss:-5.563, closs: 0.127, time: 0.27
Episode 9, Reward:12.30, Noise:0.961, epsilon: 0.996, aloss:-4.936, closs: 0.122, time: 1.08
Episode 10, Reward:14.05, Noise:0.956, epsilon: 0.996, aloss:-5.072, closs: 0.100, time: 1.08
Episode 11, Reward:1.05, Noise:0.951, epsilon: 0.995, aloss:-5.335, closs: 0.104, time: 0.11
Episode 12, Reward:13.55, Noise:0.946, epsilon: 0.995, aloss:-5.043, closs: 0.116, time: 1.09
Episode 13, Reward:0.95, Noise:0.942, epsilon: 0.994, aloss:-4.849, closs: 0.125, time: 0.06
Episode 14, Reward:13.10, Noise:0.937, epsilon: 0.994, aloss:-4.785, closs: 0.116, time: 1.08
Episode 15, Reward:0.95, Noise:0.932, epsilon: 0.993, aloss:-4.913, closs: 0.133, time: 0.08
Episode 16, Reward:5.75, Noise:0.928, epsilon: 0.993, aloss:-4.806, closs: 0.114, time: 0.44
Episode 17, Reward:8.75, Noise:0.923, epsilon: 0.992, aloss:-4.819, closs: 0.116, time: 0.67
Episode 18, Reward:13.10, Noise:0.918, epsilon: 0.992, aloss:-4.726, closs: 0.118, time: 1.08
Episode 19, Reward:13.45, Noise:0.914, epsilon: 0.991, aloss:-4.994, closs: 0.106, time: 1.08
Episode 20, Reward:14.15, Noise:0.909, epsilon: 0.991, aloss:-4.954, closs: 0.115, time: 1.08
Episode 21, Reward:7.05, Noise:0.905, epsilon: 0.990, aloss:-4.997, closs: 0.100, time: 0.58
