Episode 1, Reward:4.00, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.06
Episode 2, Reward:7.80, Noise:0.995, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.03
Episode 3, Reward:13.50, Noise:0.990, epsilon: 0.999, aloss:-0.213, closs: 0.013, time: 0.71
Episode 4, Reward:10.50, Noise:0.985, epsilon: 0.999, aloss:-2.204, closs: 0.057, time: 0.87
Episode 5, Reward:14.45, Noise:0.980, epsilon: 0.998, aloss:-4.463, closs: 0.110, time: 1.07
Episode 6, Reward:13.60, Noise:0.975, epsilon: 0.998, aloss:-4.997, closs: 0.116, time: 1.04
Episode 7, Reward:7.65, Noise:0.970, epsilon: 0.997, aloss:-5.000, closs: 0.117, time: 0.59
Episode 8, Reward:12.90, Noise:0.966, epsilon: 0.997, aloss:-4.751, closs: 0.119, time: 1.04
Episode 9, Reward:4.05, Noise:0.961, epsilon: 0.996, aloss:-4.922, closs: 0.104, time: 0.31
Episode 10, Reward:1.20, Noise:0.956, epsilon: 0.996, aloss:-4.827, closs: 0.169, time: 0.13
Episode 11, Reward:13.10, Noise:0.951, epsilon: 0.995, aloss:-4.353, closs: 0.120, time: 1.13
Episode 12, Reward:12.90, Noise:0.946, epsilon: 0.995, aloss:-4.631, closs: 0.106, time: 1.12
Episode 13, Reward:5.25, Noise:0.942, epsilon: 0.994, aloss:-4.974, closs: 0.109, time: 0.41
Episode 14, Reward:11.10, Noise:0.937, epsilon: 0.994, aloss:-4.646, closs: 0.119, time: 0.85
Episode 15, Reward:6.65, Noise:0.932, epsilon: 0.993, aloss:-4.425, closs: 0.118, time: 0.53
Episode 16, Reward:12.05, Noise:0.928, epsilon: 0.993, aloss:-4.569, closs: 0.121, time: 1.11
Episode 17, Reward:14.10, Noise:0.923, epsilon: 0.992, aloss:-4.626, closs: 0.110, time: 1.11
Episode 18, Reward:3.90, Noise:0.918, epsilon: 0.992, aloss:-4.767, closs: 0.107, time: 0.31
Episode 19, Reward:6.25, Noise:0.914, epsilon: 0.991, aloss:-4.820, closs: 0.109, time: 0.51
Episode 20, Reward:11.50, Noise:0.909, epsilon: 0.991, aloss:-4.617, closs: 0.117, time: 0.91
Episode 21, Reward:13.20, Noise:0.905, epsilon: 0.990, aloss:-4.629, closs: 0.112, time: 1.09
Episode 22, Reward:12.40, Noise:0.900, epsilon: 0.990, aloss:-4.516, closs: 0.113, time: 1.09
Episode 23, Reward:0.35, Noise:0.896, epsilon: 0.989, aloss:-4.628, closs: 0.128, time: 0.03
Episode 24, Reward:13.10, Noise:0.891, epsilon: 0.989, aloss:-4.662, closs: 0.107, time: 1.09
Episode 25, Reward:13.20, Noise:0.887, epsilon: 0.988, aloss:-4.708, closs: 0.110, time: 1.11
Episode 26, Reward:2.75, Noise:0.882, epsilon: 0.988, aloss:-4.864, closs: 0.084, time: 0.21
Episode 27, Reward:12.60, Noise:0.878, epsilon: 0.987, aloss:-4.756, closs: 0.105, time: 1.10
Episode 28, Reward:7.30, Noise:0.873, epsilon: 0.987, aloss:-4.734, closs: 0.108, time: 0.73
Episode 29, Reward:3.70, Noise:0.869, epsilon: 0.986, aloss:-4.793, closs: 0.108, time: 0.29
Episode 30, Reward:11.40, Noise:0.865, epsilon: 0.986, aloss:-4.784, closs: 0.102, time: 0.95
