Episode 1, Reward:9.75, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.09
Episode 2, Reward:2.70, Noise:0.995, epsilon: 1.000, aloss:-0.010, closs: 0.006, time: 0.17
Episode 3, Reward:0.95, Noise:0.990, epsilon: 0.999, aloss:-0.148, closs: 0.041, time: 0.14
Episode 4, Reward:1.15, Noise:0.985, epsilon: 0.999, aloss:-0.254, closs: 0.021, time: 0.13
Episode 5, Reward:5.25, Noise:0.980, epsilon: 0.998, aloss:-0.595, closs: 0.018, time: 0.52
Episode 6, Reward:0.45, Noise:0.975, epsilon: 0.998, aloss:-1.013, closs: 0.031, time: 0.05
Episode 7, Reward:9.60, Noise:0.970, epsilon: 0.997, aloss:-1.897, closs: 0.047, time: 1.11
Episode 8, Reward:0.40, Noise:0.966, epsilon: 0.997, aloss:-2.533, closs: 0.061, time: 0.08
Episode 9, Reward:0.65, Noise:0.961, epsilon: 0.996, aloss:-2.543, closs: 0.073, time: 0.09
Episode 10, Reward:9.90, Noise:0.956, epsilon: 0.996, aloss:-2.446, closs: 0.061, time: 1.08
Episode 11, Reward:7.65, Noise:0.951, epsilon: 0.995, aloss:-2.690, closs: 0.060, time: 0.83
Episode 12, Reward:2.40, Noise:0.946, epsilon: 0.995, aloss:-2.799, closs: 0.065, time: 0.25
Episode 13, Reward:4.90, Noise:0.942, epsilon: 0.994, aloss:-2.648, closs: 0.066, time: 0.60
Episode 14, Reward:9.55, Noise:0.937, epsilon: 0.994, aloss:-2.619, closs: 0.060, time: 1.08
Episode 15, Reward:1.20, Noise:0.932, epsilon: 0.993, aloss:-2.817, closs: 0.058, time: 0.12
Episode 16, Reward:9.05, Noise:0.928, epsilon: 0.993, aloss:-2.798, closs: 0.060, time: 1.08
Episode 17, Reward:1.65, Noise:0.923, epsilon: 0.992, aloss:-2.961, closs: 0.047, time: 0.15
Episode 18, Reward:5.00, Noise:0.918, epsilon: 0.992, aloss:-2.869, closs: 0.063, time: 0.60
Episode 19, Reward:1.85, Noise:0.914, epsilon: 0.991, aloss:-2.812, closs: 0.063, time: 0.21
Episode 20, Reward:7.45, Noise:0.909, epsilon: 0.991, aloss:-2.718, closs: 0.065, time: 0.86
Episode 21, Reward:0.90, Noise:0.905, epsilon: 0.990, aloss:-2.732, closs: 0.042, time: 0.09
Episode 22, Reward:2.90, Noise:0.900, epsilon: 0.990, aloss:-2.697, closs: 0.074, time: 0.35
Episode 23, Reward:5.75, Noise:0.896, epsilon: 0.989, aloss:-2.663, closs: 0.061, time: 0.74
Episode 24, Reward:1.85, Noise:0.891, epsilon: 0.989, aloss:-2.734, closs: 0.069, time: 0.21
Episode 25, Reward:5.15, Noise:0.887, epsilon: 0.988, aloss:-2.587, closs: 0.065, time: 0.65
Episode 26, Reward:0.50, Noise:0.882, epsilon: 0.988, aloss:-2.593, closs: 0.067, time: 0.07
Episode 27, Reward:3.05, Noise:0.878, epsilon: 0.987, aloss:-2.586, closs: 0.062, time: 0.36
Episode 28, Reward:0.65, Noise:0.873, epsilon: 0.987, aloss:-2.590, closs: 0.084, time: 0.05
Episode 29, Reward:1.40, Noise:0.869, epsilon: 0.986, aloss:-2.538, closs: 0.065, time: 0.13
Episode 30, Reward:2.30, Noise:0.865, epsilon: 0.986, aloss:-2.499, closs: 0.069, time: 0.31
Episode 31, Reward:0.60, Noise:0.860, epsilon: 0.985, aloss:-2.422, closs: 0.075, time: 0.06
Episode 32, Reward:8.20, Noise:0.856, epsilon: 0.985, aloss:-2.337, closs: 0.065, time: 0.96
Episode 33, Reward:1.00, Noise:0.852, epsilon: 0.984, aloss:-2.336, closs: 0.065, time: 0.09
Episode 34, Reward:5.15, Noise:0.848, epsilon: 0.984, aloss:-2.346, closs: 0.066, time: 0.67
Episode 35, Reward:2.55, Noise:0.843, epsilon: 0.983, aloss:-2.375, closs: 0.060, time: 0.28
