Episode 1, Reward:0.46, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.06
Episode 2, Reward:1.00, Noise:0.995, epsilon: 1.000, aloss:-0.006, closs: 0.009, time: 0.32
Episode 3, Reward:1.06, Noise:0.990, epsilon: 0.999, aloss:-0.315, closs: 0.008, time: 1.13
Episode 4, Reward:0.13, Noise:0.985, epsilon: 0.999, aloss:-0.411, closs: 0.001, time: 0.15
Episode 5, Reward:0.95, Noise:0.980, epsilon: 0.998, aloss:-0.398, closs: 0.001, time: 1.08
Episode 6, Reward:0.08, Noise:0.975, epsilon: 0.998, aloss:-0.384, closs: 0.001, time: 0.09
Episode 7, Reward:1.10, Noise:0.970, epsilon: 0.997, aloss:-0.368, closs: 0.001, time: 1.08
Episode 8, Reward:0.99, Noise:0.966, epsilon: 0.997, aloss:-0.365, closs: 0.001, time: 1.09
Episode 9, Reward:1.01, Noise:0.961, epsilon: 0.996, aloss:-0.386, closs: 0.001, time: 1.09
Episode 10, Reward:0.23, Noise:0.956, epsilon: 0.996, aloss:-0.391, closs: 0.001, time: 0.27
Episode 11, Reward:0.79, Noise:0.951, epsilon: 0.995, aloss:-0.371, closs: 0.001, time: 0.84
Episode 12, Reward:0.71, Noise:0.946, epsilon: 0.995, aloss:-0.360, closs: 0.001, time: 0.71
Episode 13, Reward:0.61, Noise:0.942, epsilon: 0.994, aloss:-0.363, closs: 0.001, time: 0.69
Episode 14, Reward:1.00, Noise:0.937, epsilon: 0.994, aloss:-0.358, closs: 0.001, time: 1.08
Episode 15, Reward:1.05, Noise:0.932, epsilon: 0.993, aloss:-0.364, closs: 0.001, time: 1.09
Episode 16, Reward:0.96, Noise:0.928, epsilon: 0.993, aloss:-0.382, closs: 0.001, time: 1.10
Episode 17, Reward:0.29, Noise:0.923, epsilon: 0.992, aloss:-0.395, closs: 0.001, time: 0.31
Episode 18, Reward:0.60, Noise:0.918, epsilon: 0.992, aloss:-0.364, closs: 0.001, time: 0.66
Episode 19, Reward:0.98, Noise:0.914, epsilon: 0.991, aloss:-0.374, closs: 0.001, time: 0.98
Episode 20, Reward:0.99, Noise:0.909, epsilon: 0.991, aloss:-0.372, closs: 0.001, time: 1.09
Episode 21, Reward:0.41, Noise:0.905, epsilon: 0.990, aloss:-0.377, closs: 0.001, time: 0.42
Episode 22, Reward:0.81, Noise:0.900, epsilon: 0.990, aloss:-0.365, closs: 0.001, time: 0.88
Episode 23, Reward:0.03, Noise:0.896, epsilon: 0.989, aloss:-0.370, closs: 0.001, time: 0.05
Episode 24, Reward:1.06, Noise:0.891, epsilon: 0.989, aloss:-0.353, closs: 0.001, time: 1.09
Episode 25, Reward:0.22, Noise:0.887, epsilon: 0.988, aloss:-0.354, closs: 0.001, time: 0.26
Episode 26, Reward:1.04, Noise:0.882, epsilon: 0.988, aloss:-0.355, closs: 0.001, time: 1.11
Episode 27, Reward:1.00, Noise:0.878, epsilon: 0.987, aloss:-0.370, closs: 0.001, time: 1.14
Episode 28, Reward:0.89, Noise:0.873, epsilon: 0.987, aloss:-0.366, closs: 0.001, time: 1.13
Episode 29, Reward:0.07, Noise:0.869, epsilon: 0.986, aloss:-0.369, closs: 0.001, time: 0.08
Episode 30, Reward:0.29, Noise:0.865, epsilon: 0.986, aloss:-0.371, closs: 0.001, time: 0.34
Episode 31, Reward:0.97, Noise:0.860, epsilon: 0.985, aloss:-0.360, closs: 0.001, time: 1.11
Episode 32, Reward:1.02, Noise:0.856, epsilon: 0.985, aloss:-0.361, closs: 0.001, time: 1.10
Episode 33, Reward:0.35, Noise:0.852, epsilon: 0.984, aloss:-0.370, closs: 0.001, time: 0.37
Episode 34, Reward:1.07, Noise:0.848, epsilon: 0.984, aloss:-0.357, closs: 0.001, time: 1.11
Episode 35, Reward:0.49, Noise:0.843, epsilon: 0.983, aloss:-0.363, closs: 0.001, time: 0.58
Episode 36, Reward:1.10, Noise:0.839, epsilon: 0.983, aloss:-0.367, closs: 0.001, time: 1.10
Episode 37, Reward:0.17, Noise:0.835, epsilon: 0.982, aloss:-0.363, closs: 0.001, time: 0.20
Episode 38, Reward:0.15, Noise:0.831, epsilon: 0.982, aloss:-0.345, closs: 0.001, time: 0.17
Episode 39, Reward:0.37, Noise:0.827, epsilon: 0.981, aloss:-0.350, closs: 0.001, time: 0.39
Episode 40, Reward:0.71, Noise:0.822, epsilon: 0.981, aloss:-0.346, closs: 0.001, time: 0.67
Episode 41, Reward:1.03, Noise:0.818, epsilon: 0.980, aloss:-0.367, closs: 0.001, time: 1.11
Episode 42, Reward:0.58, Noise:0.814, epsilon: 0.980, aloss:-0.355, closs: 0.001, time: 0.64
Episode 43, Reward:1.11, Noise:0.810, epsilon: 0.979, aloss:-0.362, closs: 0.001, time: 1.14
Episode 44, Reward:1.04, Noise:0.806, epsilon: 0.979, aloss:-0.359, closs: 0.001, time: 1.12
Episode 45, Reward:0.87, Noise:0.802, epsilon: 0.978, aloss:-0.360, closs: 0.001, time: 0.83
Episode 46, Reward:0.78, Noise:0.798, epsilon: 0.978, aloss:-0.365, closs: 0.001, time: 0.81
Episode 47, Reward:1.09, Noise:0.794, epsilon: 0.977, aloss:-0.366, closs: 0.001, time: 1.13
Episode 48, Reward:0.21, Noise:0.790, epsilon: 0.977, aloss:-0.365, closs: 0.001, time: 0.22
Episode 49, Reward:1.08, Noise:0.786, epsilon: 0.976, aloss:-0.362, closs: 0.001, time: 1.12
Episode 50, Reward:0.49, Noise:0.782, epsilon: 0.976, aloss:-0.361, closs: 0.001, time: 0.57
Episode 51, Reward:1.04, Noise:0.778, epsilon: 0.975, aloss:-0.361, closs: 0.001, time: 1.12
Episode 52, Reward:0.29, Noise:0.774, epsilon: 0.975, aloss:-0.371, closs: 0.001, time: 0.31
Episode 53, Reward:0.15, Noise:0.771, epsilon: 0.974, aloss:-0.371, closs: 0.001, time: 0.14
Episode 54, Reward:0.40, Noise:0.767, epsilon: 0.974, aloss:-0.357, closs: 0.001, time: 0.47
Episode 55, Reward:0.06, Noise:0.763, epsilon: 0.973, aloss:-0.360, closs: 0.001, time: 0.06
Episode 56, Reward:1.15, Noise:0.759, epsilon: 0.973, aloss:-0.350, closs: 0.001, time: 1.12
Episode 57, Reward:0.28, Noise:0.755, epsilon: 0.972, aloss:-0.353, closs: 0.001, time: 0.29
Episode 58, Reward:0.90, Noise:0.751, epsilon: 0.972, aloss:-0.351, closs: 0.001, time: 1.12
Episode 59, Reward:1.02, Noise:0.748, epsilon: 0.971, aloss:-0.350, closs: 0.001, time: 1.12
Episode 60, Reward:1.02, Noise:0.744, epsilon: 0.971, aloss:-0.364, closs: 0.001, time: 1.13
Episode 61, Reward:1.07, Noise:0.740, epsilon: 0.970, aloss:-0.374, closs: 0.001, time: 1.12
Episode 62, Reward:0.19, Noise:0.737, epsilon: 0.970, aloss:-0.359, closs: 0.001, time: 0.25
Episode 63, Reward:0.99, Noise:0.733, epsilon: 0.969, aloss:-0.372, closs: 0.001, time: 1.05
Episode 64, Reward:0.33, Noise:0.729, epsilon: 0.969, aloss:-0.376, closs: 0.001, time: 0.38
Episode 65, Reward:0.20, Noise:0.726, epsilon: 0.968, aloss:-0.367, closs: 0.001, time: 0.23
Episode 66, Reward:1.05, Noise:0.722, epsilon: 0.968, aloss:-0.361, closs: 0.001, time: 1.13
Episode 67, Reward:0.73, Noise:0.718, epsilon: 0.968, aloss:-0.353, closs: 0.001, time: 0.78
Episode 68, Reward:1.03, Noise:0.715, epsilon: 0.967, aloss:-0.355, closs: 0.001, time: 1.12
Episode 69, Reward:1.24, Noise:0.711, epsilon: 0.967, aloss:-0.354, closs: 0.001, time: 1.13
Episode 70, Reward:0.36, Noise:0.708, epsilon: 0.966, aloss:-0.378, closs: 0.001, time: 0.42
Episode 71, Reward:1.18, Noise:0.704, epsilon: 0.966, aloss:-0.362, closs: 0.001, time: 1.20
