Episode 1, Reward:0.00, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.08
Episode 2, Reward:0.00, Noise:0.995, epsilon: 1.000, aloss: 0.004, closs: 0.005, time: 0.57
Episode 3, Reward:0.00, Noise:0.990, epsilon: 0.999, aloss: 0.000, closs: 0.001, time: 0.55
Episode 4, Reward:0.00, Noise:0.985, epsilon: 0.999, aloss: 0.000, closs: 0.001, time: 0.98
Episode 5, Reward:0.00, Noise:0.980, epsilon: 0.998, aloss: 0.000, closs: 0.001, time: 0.80
Episode 6, Reward:0.00, Noise:0.975, epsilon: 0.998, aloss:-0.000, closs: 0.000, time: 0.07
Episode 7, Reward:0.00, Noise:0.970, epsilon: 0.997, aloss: 0.000, closs: 0.000, time: 0.27
Episode 8, Reward:0.00, Noise:0.966, epsilon: 0.997, aloss: 0.000, closs: 0.000, time: 1.06
Episode 9, Reward:0.00, Noise:0.961, epsilon: 0.996, aloss: 0.000, closs: 0.000, time: 0.58
Episode 10, Reward:0.00, Noise:0.956, epsilon: 0.996, aloss: 0.000, closs: 0.000, time: 0.71
Episode 11, Reward:0.00, Noise:0.951, epsilon: 0.995, aloss: 0.000, closs: 0.000, time: 0.40
Episode 12, Reward:0.00, Noise:0.946, epsilon: 0.995, aloss: 0.000, closs: 0.000, time: 1.06
Episode 13, Reward:0.00, Noise:0.942, epsilon: 0.994, aloss:-0.000, closs: 0.001, time: 0.19
Episode 14, Reward:0.00, Noise:0.937, epsilon: 0.994, aloss: 0.000, closs: 0.004, time: 1.08
Episode 15, Reward:0.00, Noise:0.932, epsilon: 0.993, aloss: 0.000, closs: 0.009, time: 0.46
Episode 16, Reward:0.00, Noise:0.928, epsilon: 0.993, aloss: 0.000, closs: 0.002, time: 1.08
Episode 17, Reward:0.00, Noise:0.923, epsilon: 0.992, aloss:-0.000, closs: 0.002, time: 0.63
Episode 18, Reward:0.00, Noise:0.918, epsilon: 0.992, aloss:-0.000, closs: 0.004, time: 1.08
Episode 19, Reward:0.00, Noise:0.914, epsilon: 0.991, aloss: 0.000, closs: 0.003, time: 0.13
Episode 20, Reward:0.00, Noise:0.909, epsilon: 0.991, aloss: 0.000, closs: 0.002, time: 0.42
Episode 21, Reward:0.00, Noise:0.905, epsilon: 0.990, aloss: 0.000, closs: 0.002, time: 1.08
Episode 22, Reward:0.00, Noise:0.900, epsilon: 0.990, aloss: 0.000, closs: 0.006, time: 1.08
Episode 23, Reward:0.00, Noise:0.896, epsilon: 0.989, aloss: 0.000, closs: 0.001, time: 1.08
Episode 24, Reward:0.00, Noise:0.891, epsilon: 0.989, aloss: 0.000, closs: 0.000, time: 0.34
Episode 25, Reward:0.00, Noise:0.887, epsilon: 0.988, aloss: 0.000, closs: 0.000, time: 0.66
Episode 26, Reward:0.00, Noise:0.882, epsilon: 0.988, aloss: 0.000, closs: 0.000, time: 0.53
Episode 27, Reward:0.00, Noise:0.878, epsilon: 0.987, aloss: 0.000, closs: 0.000, time: 0.08
Episode 28, Reward:0.00, Noise:0.873, epsilon: 0.987, aloss: 0.000, closs: 0.000, time: 1.12
Episode 29, Reward:0.00, Noise:0.869, epsilon: 0.986, aloss: 0.000, closs: 0.000, time: 0.11
Episode 30, Reward:0.00, Noise:0.865, epsilon: 0.986, aloss: 0.000, closs: 0.000, time: 1.09
Episode 31, Reward:0.00, Noise:0.860, epsilon: 0.985, aloss: 0.000, closs: 0.000, time: 0.59
