Episode 1, Reward:101.60, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.30
Episode 2, Reward:100.90, Noise:0.995, epsilon: 1.000, aloss:-0.395, closs: 0.540, time: 5.91
Episode 3, Reward:102.40, Noise:0.990, epsilon: 0.999, aloss:-5.108, closs: 0.788, time: 7.95
Episode 4, Reward:100.40, Noise:0.985, epsilon: 0.999, aloss:-18.605, closs: 0.581, time: 7.93
Episode 5, Reward:100.60, Noise:0.980, epsilon: 0.998, aloss:-36.846, closs: 0.490, time: 7.99
Episode 6, Reward:95.50, Noise:0.975, epsilon: 0.998, aloss:-48.306, closs: 0.442, time: 7.97
Episode 7, Reward:98.20, Noise:0.970, epsilon: 0.997, aloss:-49.962, closs: 0.413, time: 7.93
Episode 8, Reward:99.40, Noise:0.966, epsilon: 0.997, aloss:-49.961, closs: 0.390, time: 7.93
Episode 9, Reward:97.50, Noise:0.961, epsilon: 0.996, aloss:-49.858, closs: 0.384, time: 7.97
Episode 10, Reward:46.10, Noise:0.956, epsilon: 0.996, aloss:-49.749, closs: 0.383, time: 3.69
Episode 11, Reward:99.10, Noise:0.951, epsilon: 0.995, aloss:-49.008, closs: 1.448, time: 7.98
Episode 12, Reward:103.50, Noise:0.946, epsilon: 0.995, aloss:-48.074, closs: 1.282, time: 7.98
Episode 13, Reward:74.20, Noise:0.942, epsilon: 0.994, aloss:-48.695, closs: 1.318, time: 6.38
Episode 14, Reward:100.20, Noise:0.937, epsilon: 0.994, aloss:-47.617, closs: 1.801, time: 8.01
Episode 15, Reward:97.80, Noise:0.932, epsilon: 0.993, aloss:-47.362, closs: 1.829, time: 8.05
Episode 16, Reward:97.80, Noise:0.928, epsilon: 0.993, aloss:-47.567, closs: 1.894, time: 7.96
Episode 17, Reward:99.50, Noise:0.923, epsilon: 0.992, aloss:-47.305, closs: 2.161, time: 7.93
Episode 18, Reward:103.30, Noise:0.918, epsilon: 0.992, aloss:-46.937, closs: 1.685, time: 7.95
Episode 19, Reward:99.70, Noise:0.914, epsilon: 0.991, aloss:-47.616, closs: 1.507, time: 8.08
Episode 20, Reward:98.60, Noise:0.909, epsilon: 0.991, aloss:-47.939, closs: 1.566, time: 8.06
Episode 21, Reward:97.50, Noise:0.905, epsilon: 0.990, aloss:-47.417, closs: 2.040, time: 8.20
Episode 22, Reward:97.30, Noise:0.900, epsilon: 0.990, aloss:-47.393, closs: 1.558, time: 8.05
Episode 23, Reward:97.50, Noise:0.896, epsilon: 0.989, aloss:-47.532, closs: 1.834, time: 8.06
Episode 24, Reward:96.60, Noise:0.891, epsilon: 0.989, aloss:-47.771, closs: 1.315, time: 8.12
Episode 25, Reward:98.50, Noise:0.887, epsilon: 0.988, aloss:-47.817, closs: 1.499, time: 8.06
Episode 26, Reward:98.60, Noise:0.882, epsilon: 0.988, aloss:-48.095, closs: 1.342, time: 8.12
Episode 27, Reward:104.80, Noise:0.878, epsilon: 0.987, aloss:-48.245, closs: 1.257, time: 8.07
Episode 28, Reward:102.10, Noise:0.873, epsilon: 0.987, aloss:-48.356, closs: 1.488, time: 7.91
Episode 29, Reward:92.70, Noise:0.869, epsilon: 0.986, aloss:-48.305, closs: 1.022, time: 8.13
Episode 30, Reward:96.60, Noise:0.865, epsilon: 0.986, aloss:-48.433, closs: 1.409, time: 8.08
Episode 31, Reward:100.60, Noise:0.860, epsilon: 0.985, aloss:-48.699, closs: 0.965, time: 8.07
Episode 32, Reward:52.60, Noise:0.856, epsilon: 0.985, aloss:-47.762, closs: 1.771, time: 4.31
Episode 33, Reward:104.50, Noise:0.852, epsilon: 0.984, aloss:-47.808, closs: 1.510, time: 8.16
Episode 34, Reward:96.00, Noise:0.848, epsilon: 0.984, aloss:-47.450, closs: 1.746, time: 8.05
