Episode 1, Reward:53.86, Noise:0.200, epsilon: 0.600, aloss: 0.000, closs: 0.000, time: 0.12
Episode 2, Reward:30.91, Noise:0.200, epsilon: 0.599, aloss:-0.253, closs: 0.033, time: 0.86
Episode 3, Reward:52.69, Noise:0.200, epsilon: 0.599, aloss:-0.788, closs: 0.057, time: 2.40
Episode 4, Reward:48.37, Noise:0.199, epsilon: 0.598, aloss:-1.221, closs: 0.061, time: 2.38
Episode 5, Reward:48.33, Noise:0.199, epsilon: 0.598, aloss:-1.644, closs: 0.065, time: 2.38
Episode 6, Reward:47.45, Noise:0.199, epsilon: 0.597, aloss:-2.115, closs: 0.072, time: 2.34
Episode 7, Reward:40.87, Noise:0.199, epsilon: 0.596, aloss:-2.595, closs: 0.080, time: 2.38
Episode 8, Reward:49.35, Noise:0.199, epsilon: 0.596, aloss:-3.010, closs: 0.084, time: 2.47
Episode 9, Reward:24.92, Noise:0.198, epsilon: 0.595, aloss:-3.297, closs: 0.085, time: 1.32
Episode 10, Reward:26.07, Noise:0.198, epsilon: 0.595, aloss:-3.606, closs: 0.093, time: 2.41
Episode 11, Reward:32.11, Noise:0.198, epsilon: 0.594, aloss:-4.053, closs: 0.102, time: 2.39
Episode 12, Reward:23.15, Noise:0.198, epsilon: 0.593, aloss:-4.376, closs: 0.105, time: 1.03
Episode 13, Reward:48.61, Noise:0.198, epsilon: 0.593, aloss:-4.662, closs: 0.115, time: 1.81
Episode 14, Reward:4.61, Noise:0.197, epsilon: 0.592, aloss:-4.916, closs: 0.113, time: 0.14
Episode 15, Reward:13.67, Noise:0.197, epsilon: 0.592, aloss:-4.994, closs: 0.135, time: 0.52
Episode 16, Reward:46.07, Noise:0.197, epsilon: 0.591, aloss:-5.205, closs: 0.142, time: 1.82
Episode 17, Reward:32.72, Noise:0.197, epsilon: 0.590, aloss:-5.467, closs: 0.137, time: 1.80
Episode 18, Reward:35.74, Noise:0.197, epsilon: 0.590, aloss:-5.745, closs: 0.150, time: 2.23
Episode 19, Reward:17.48, Noise:0.196, epsilon: 0.589, aloss:-5.993, closs: 0.149, time: 1.11
Episode 20, Reward:54.19, Noise:0.196, epsilon: 0.589, aloss:-6.200, closs: 0.155, time: 2.03
Episode 21, Reward:33.34, Noise:0.196, epsilon: 0.588, aloss:-6.454, closs: 0.152, time: 2.37
Episode 22, Reward:7.22, Noise:0.196, epsilon: 0.588, aloss:-6.596, closs: 0.135, time: 0.36
Episode 23, Reward:20.92, Noise:0.196, epsilon: 0.587, aloss:-6.697, closs: 0.171, time: 1.61
Episode 24, Reward:46.17, Noise:0.195, epsilon: 0.586, aloss:-6.902, closs: 0.175, time: 2.28
Episode 25, Reward:52.82, Noise:0.195, epsilon: 0.586, aloss:-7.163, closs: 0.172, time: 2.44
Episode 26, Reward:36.52, Noise:0.195, epsilon: 0.585, aloss:-7.403, closs: 0.168, time: 2.27
Episode 27, Reward:28.16, Noise:0.195, epsilon: 0.585, aloss:-7.588, closs: 0.177, time: 1.13
Episode 28, Reward:50.56, Noise:0.195, epsilon: 0.584, aloss:-7.798, closs: 0.175, time: 2.49
Episode 29, Reward:46.00, Noise:0.194, epsilon: 0.583, aloss:-8.097, closs: 0.178, time: 2.30
Episode 30, Reward:23.52, Noise:0.194, epsilon: 0.583, aloss:-8.301, closs: 0.169, time: 0.95
Episode 31, Reward:29.60, Noise:0.194, epsilon: 0.582, aloss:-8.473, closs: 0.200, time: 2.20
Episode 32, Reward:49.35, Noise:0.194, epsilon: 0.582, aloss:-8.719, closs: 0.219, time: 2.22
Episode 33, Reward:2.64, Noise:0.194, epsilon: 0.581, aloss:-8.859, closs: 0.179, time: 0.14
Episode 34, Reward:16.57, Noise:0.194, epsilon: 0.581, aloss:-8.927, closs: 0.230, time: 0.88
Episode 35, Reward:42.18, Noise:0.193, epsilon: 0.580, aloss:-9.075, closs: 0.221, time: 2.16
Episode 36, Reward:30.24, Noise:0.193, epsilon: 0.579, aloss:-9.297, closs: 0.236, time: 2.05
Episode 37, Reward:4.18, Noise:0.193, epsilon: 0.579, aloss:-9.405, closs: 0.231, time: 0.51
Episode 38, Reward:47.76, Noise:0.193, epsilon: 0.578, aloss:-9.559, closs: 0.235, time: 2.19
Episode 39, Reward:40.32, Noise:0.193, epsilon: 0.578, aloss:-9.775, closs: 0.242, time: 1.95
Episode 40, Reward:45.52, Noise:0.192, epsilon: 0.577, aloss:-9.934, closs: 0.246, time: 2.32
Episode 41, Reward:30.90, Noise:0.192, epsilon: 0.576, aloss:-10.136, closs: 0.272, time: 2.44
Episode 42, Reward:50.66, Noise:0.192, epsilon: 0.576, aloss:-10.326, closs: 0.221, time: 2.43
Episode 43, Reward:28.20, Noise:0.192, epsilon: 0.575, aloss:-10.485, closs: 0.233, time: 1.92
Episode 44, Reward:24.14, Noise:0.192, epsilon: 0.575, aloss:-10.649, closs: 0.267, time: 2.14
