Episode 1, Reward:54.51, Noise:0.200, epsilon: 0.600, aloss: 0.000, closs: 0.000, time: 0.23
Episode 2, Reward:54.64, Noise:0.200, epsilon: 0.599, aloss:-0.384, closs: 0.038, time: 1.84
Episode 3, Reward:41.87, Noise:0.200, epsilon: 0.599, aloss:-0.927, closs: 0.052, time: 2.26
Episode 4, Reward:48.99, Noise:0.199, epsilon: 0.598, aloss:-1.419, closs: 0.064, time: 2.37
Episode 5, Reward:25.57, Noise:0.199, epsilon: 0.598, aloss:-1.817, closs: 0.071, time: 2.09
Episode 6, Reward:20.45, Noise:0.199, epsilon: 0.597, aloss:-1.972, closs: 0.074, time: 0.95
Episode 7, Reward:25.15, Noise:0.199, epsilon: 0.596, aloss:-2.101, closs: 0.081, time: 1.15
Episode 8, Reward:51.73, Noise:0.199, epsilon: 0.596, aloss:-2.357, closs: 0.091, time: 2.33
Episode 9, Reward:42.26, Noise:0.198, epsilon: 0.595, aloss:-2.790, closs: 0.102, time: 2.40
Episode 10, Reward:53.72, Noise:0.198, epsilon: 0.595, aloss:-3.180, closs: 0.107, time: 2.34
Episode 11, Reward:7.37, Noise:0.198, epsilon: 0.594, aloss:-3.397, closs: 0.112, time: 0.34
Episode 12, Reward:46.95, Noise:0.198, epsilon: 0.593, aloss:-3.508, closs: 0.105, time: 1.94
Episode 13, Reward:32.42, Noise:0.198, epsilon: 0.593, aloss:-3.754, closs: 0.105, time: 1.91
Episode 14, Reward:54.58, Noise:0.197, epsilon: 0.592, aloss:-4.067, closs: 0.103, time: 1.89
Episode 15, Reward:55.29, Noise:0.197, epsilon: 0.592, aloss:-4.431, closs: 0.109, time: 2.30
Episode 16, Reward:47.47, Noise:0.197, epsilon: 0.591, aloss:-4.779, closs: 0.110, time: 2.32
Episode 17, Reward:29.17, Noise:0.197, epsilon: 0.590, aloss:-5.040, closs: 0.114, time: 1.36
Episode 18, Reward:47.34, Noise:0.197, epsilon: 0.590, aloss:-5.351, closs: 0.121, time: 2.28
Episode 19, Reward:30.13, Noise:0.196, epsilon: 0.589, aloss:-5.747, closs: 0.127, time: 2.18
Episode 20, Reward:45.98, Noise:0.196, epsilon: 0.589, aloss:-6.080, closs: 0.128, time: 2.38
Episode 21, Reward:42.58, Noise:0.196, epsilon: 0.588, aloss:-6.540, closs: 0.143, time: 2.47
Episode 22, Reward:42.67, Noise:0.196, epsilon: 0.588, aloss:-6.937, closs: 0.151, time: 2.28
Episode 23, Reward:36.29, Noise:0.196, epsilon: 0.587, aloss:-7.185, closs: 0.147, time: 2.51
Episode 24, Reward:41.27, Noise:0.195, epsilon: 0.586, aloss:-7.458, closs: 0.150, time: 2.14
Episode 25, Reward:30.15, Noise:0.195, epsilon: 0.586, aloss:-7.744, closs: 0.174, time: 2.19
Episode 26, Reward:50.74, Noise:0.195, epsilon: 0.585, aloss:-8.028, closs: 0.186, time: 1.82
Episode 27, Reward:52.14, Noise:0.195, epsilon: 0.585, aloss:-8.387, closs: 0.173, time: 2.26
Episode 28, Reward:55.55, Noise:0.195, epsilon: 0.584, aloss:-8.654, closs: 0.177, time: 2.57
Episode 29, Reward:49.44, Noise:0.194, epsilon: 0.583, aloss:-8.898, closs: 0.170, time: 2.32
Episode 30, Reward:45.48, Noise:0.194, epsilon: 0.583, aloss:-9.186, closs: 0.167, time: 2.47
Episode 31, Reward:41.23, Noise:0.194, epsilon: 0.582, aloss:-9.403, closs: 0.159, time: 1.95
Episode 32, Reward:39.74, Noise:0.194, epsilon: 0.582, aloss:-9.646, closs: 0.186, time: 2.02
Episode 33, Reward:12.85, Noise:0.194, epsilon: 0.581, aloss:-9.810, closs: 0.216, time: 0.65
Episode 34, Reward:23.53, Noise:0.194, epsilon: 0.581, aloss:-9.974, closs: 0.243, time: 1.80
Episode 35, Reward:28.04, Noise:0.193, epsilon: 0.580, aloss:-10.172, closs: 0.250, time: 2.43
Episode 36, Reward:36.86, Noise:0.193, epsilon: 0.579, aloss:-10.383, closs: 0.211, time: 2.19
Episode 37, Reward:28.85, Noise:0.193, epsilon: 0.579, aloss:-10.581, closs: 0.185, time: 1.37
Episode 38, Reward:45.40, Noise:0.193, epsilon: 0.578, aloss:-10.738, closs: 0.219, time: 2.31
Episode 39, Reward:47.98, Noise:0.193, epsilon: 0.578, aloss:-10.920, closs: 0.222, time: 2.14
Episode 40, Reward:50.00, Noise:0.192, epsilon: 0.577, aloss:-11.130, closs: 0.253, time: 2.54
Episode 41, Reward:30.09, Noise:0.192, epsilon: 0.576, aloss:-11.276, closs: 0.256, time: 2.31
Episode 42, Reward:45.62, Noise:0.192, epsilon: 0.576, aloss:-11.446, closs: 0.244, time: 2.47
Episode 43, Reward:25.28, Noise:0.192, epsilon: 0.575, aloss:-11.608, closs: 0.240, time: 1.44
Episode 44, Reward:11.83, Noise:0.192, epsilon: 0.575, aloss:-11.660, closs: 0.237, time: 0.89
Episode 45, Reward:51.31, Noise:0.191, epsilon: 0.574, aloss:-11.800, closs: 0.282, time: 2.46
Episode 46, Reward:29.34, Noise:0.191, epsilon: 0.574, aloss:-11.957, closs: 0.247, time: 2.45
Episode 47, Reward:50.12, Noise:0.191, epsilon: 0.573, aloss:-12.026, closs: 0.248, time: 2.31
Episode 48, Reward:12.59, Noise:0.191, epsilon: 0.572, aloss:-12.109, closs: 0.265, time: 0.60
Episode 49, Reward:35.31, Noise:0.191, epsilon: 0.572, aloss:-12.130, closs: 0.263, time: 1.46
Episode 50, Reward:24.75, Noise:0.190, epsilon: 0.571, aloss:-12.196, closs: 0.315, time: 0.99
Episode 51, Reward:46.45, Noise:0.190, epsilon: 0.571, aloss:-12.284, closs: 0.307, time: 2.13
Episode 52, Reward:52.15, Noise:0.190, epsilon: 0.570, aloss:-12.402, closs: 0.304, time: 2.28
Episode 53, Reward:36.05, Noise:0.190, epsilon: 0.570, aloss:-12.524, closs: 0.307, time: 2.50
Episode 54, Reward:47.16, Noise:0.190, epsilon: 0.569, aloss:-12.612, closs: 0.304, time: 2.11
Episode 55, Reward:37.25, Noise:0.189, epsilon: 0.568, aloss:-12.690, closs: 0.325, time: 2.60
Episode 56, Reward:28.48, Noise:0.189, epsilon: 0.568, aloss:-12.753, closs: 0.282, time: 2.48
Episode 57, Reward:49.30, Noise:0.189, epsilon: 0.567, aloss:-12.849, closs: 0.316, time: 2.44
Episode 58, Reward:36.42, Noise:0.189, epsilon: 0.567, aloss:-12.934, closs: 0.300, time: 2.51
Episode 59, Reward:29.82, Noise:0.189, epsilon: 0.566, aloss:-12.991, closs: 0.296, time: 2.38
Episode 60, Reward:27.81, Noise:0.189, epsilon: 0.566, aloss:-12.994, closs: 0.297, time: 2.32
Episode 61, Reward:29.94, Noise:0.188, epsilon: 0.565, aloss:-13.095, closs: 0.293, time: 2.49
Episode 62, Reward:43.11, Noise:0.188, epsilon: 0.564, aloss:-13.241, closs: 0.282, time: 2.37
Episode 63, Reward:34.99, Noise:0.188, epsilon: 0.564, aloss:-13.349, closs: 0.276, time: 2.39
Episode 64, Reward:25.00, Noise:0.188, epsilon: 0.563, aloss:-13.514, closs: 0.268, time: 2.48
